ID,turno,Nombre,LatitudInicial,LongitudInicial,LatitudFinal,LongitudFinal,frecuencia
1,M,SANPEDRODECHOQUE-NARANJOS,-11.865682,-77.053401,-11.869634,-77.059911,DIARIA
2,M,GLORIABAMBA,-11.843413,-77.101685,-11.846168,-77.106445,DIARIA
3,M,LASVEGAS,-11.864887,-77.074087,-11.864401,-77.074354,DIARIA
4,M,PANCHAPAULADERECHO,-11.856485,-77.067177,-11.856525,-77.065079,DIARIA
5,M,SANTAPAULA,-11.853834,-77.067023,-11.850263,-77.058083,DIARIA
6,M,LOMASZAPALLAL,-11.827395,-77.100564,-11.818736,-77.09869,DIARIA
7,M,CALICHE,-11.847793,-77.096529,-11.850823,-77.105521,DIARIA
8,M,ANIMASDELSUR,-11.9088,-77.071027,-11.905449,-77.070993,DIARIA
9,M,A3,-11.913825,-77.086113,-11.912062,-77.086496,DIARIA
10,M,EUCALIPTOS,-11.912816,-77.07406,-11.908108,-77.083869,DIARIA
11,M,GALLINAZOZCASAHUERTA,-11.89272,-77.067824,-11.878041,-77.06058,DIARIA
12,M,SANTABARBARA,-11.890006,-77.06854,-11.886393,-77.075077,DIARIA
13,M,CAMINOREAL,-11.862633,-77.080763,-11.860177,-77.093934,DIARIA
14,M,ORQUIDEAS-CASUARINAS,-11.864383,-77.074196,-11.842732,-77.086931,DIARIA
15,M,LOMASLADODERECHO,-11.829034,-77.101385,-11.815997,-77.099084,DIARIA
16,M,PALMITOS--PANCHAPAULAIZQUIERDA,-11.855283,-77.065526,-11.852729,-77.05927,DIARIA
17,M,CHAVINDEHUANTAR,-11.833958,-77.090803,-11.829985,-77.091122,DIARIA
18,M,PRIMERODEMAYO,-11.859587,-77.09261,-11.861934,-77.094925,DIARIA
19,M,ANIMAS,-11.908239,-77.072579,-11.90546,-77.070983,DIARIA
20,M,LADERASIIEXPLANADA,-11.924502,-77.086303,-11.919986,-77.088934,INTERDIARIA(MJ-S)
21,M,LADERASIIEXPLANADAU3,-11.92355,-77.085901,-11.923417,-77.089881,INTERDIARIA(MJ-S)
22,M,VIRGENDELFATIMA,-11.842888,-77.101275,-11.835403,-77.109079,INTERDIARIA(LMi-V)
23,M,CERROGORDO,-11.850201,-77.093575,-11.851419,-77.092006,INTERDIARIA(LMi-V)
24,M,ELPORVENIR,-11.84901,-77.090315,-11.854606,-77.084773,INTERDIARIA(LMi-V)
25,M,PANAMERICANORTE,-11.870153,-77.070883,-11.860471,-77.079865,DIARIA
26,M,AVENIDASDELSUR,-11.87649,-77.069217,-11.865426,-77.07393,DIARIA
27,M,COLONIAELDORADO,-11.842778,-77.101152,-11.817901,-77.098601,INTERDIARIA(MJ-S)
28,M,ARENITAS,-11.836012,-77.109654,-11.829006,-77.114547,INTERDIARIA(MJ-S)
29,M,COMIT6,7,8MONTEDESENAIN,-11.828844,-77.114575,-11.82664,-77.119221,INTERDIARIA(MJ-S)
30,M,LADERASPARTESALTASMZZ,-11.919535,-77.089916,-11.917794,-77.095025,INTERDIARIA(LMi-V)
31,M,LADERASPARTESALTASMZS,-11.919967,-77.088759,-11.921028,-77.095681,INTERDIARIA(LMi-V)
32,T,COPACABANALOSSAUCES,-11.855466,-77.085657,-11.850488,-77.081187,DIARIA
33,T,PSJESANMIGUEL,-11.857661,-77.082985,-11.849783,-77.072435,DIARIA
34,T,LAGRAMAPARTESALTAS,-11.853703,-77.089661,-11.858564,-77.100316,DIARIA
35,T,LOMASPRIMERODEMAYOYBELAUNDETERRY,-11.858796,-77.100433,-11.860644,-77.104207,DIARIA
36,T,OROPEZA_PARTESALTAS,-11.831112,-77.113764,-11.820546,-77.109271,DIARIA
37,T,CHAVARRIA,-11.873784,-77.074336,-11.872986,-77.069529,DIARIA
38,T,SHANGRILA,-11.916262,-77.076041,-11.908365,-77.083593,DIARIA
39,T,CAPITANA,-11.901997,-77.070017,-11.901622,-77.072467,DIARIA
40,T,MARIAJESUS,-11.931775,-77.089385,-11.931145,-77.09153,DIARIA
41,T,ALAMEDADELNORTE,-11.843215,-77.088148,-11.840506,-77.094642,DIARIA
42,T,ZAPALLAL,-11.84423,-77.097999,-11.832636,-77.112619,DIARIA
43,T,PSJEELPARRAL,-11.868837,-77.076453,-11.870622,-77.080981,DIARIA
44,T,PSJEAVITUNI,-11.859406,-77.083873,-11.866849,-77.088238,DIARIA
45,T,ALF.UGARTEPARTESALTAS,-11.853709,-77.08966,-11.856776,-77.099872,DIARIA
46,T,TIWINZAPARTESALTAS,-11.84857,-77.110822,-11.84774,-77.116054,DIARIA
47,T,5DEOCTUBRE,-11.829117,-77.101429,-11.81785,-77.098549,DIARIA
48,T,ELPARASO,-11.829483,-77.118153,-11.825918,-77.116994,DIARIA
49,T,URB.ELGRAMADAL,-11.868016,-77.074683,-11.863866,-77.078669,DIARIA
50,T,URB.LOSPORTALES,-11.880963,-77.068752,-11.873514,-77.05988,DIARIA
