TURNO,LAT,LONG,DIST,CAPACIDAD
M,-11.859332,-77.081435,0,10
M,-11.864751,-77.074789,0.9425108,10
M,-11.87026,-77.070901,1.687932,10
M,-11.873148,-77.069245,2.056633,10
M,-11.881326,-77.068821,2.968275,10
M,-11.88131,-77.069196,3.009241,10
M,-11.88135,-77.06977,3.071968,10
M,-11.882034,-77.071736,3.299389,10
M,-11.88244,-77.073338,3.47979,10
M,-11.882463,-77.074005,3.552566,10
M,-11.882464,-77.074586,3.615924,10
M,-11.883403,-77.074591,3.720563,10
M,-11.883727,-77.074591,3.756741,10
M,-11.884288,-77.074595,3.819239,10
M,-11.884899,-77.074644,3.887582,10
M,-11.885339,-77.074725,3.937369,10
M,-11.885455,-77.074197,3.996269,10
M,-11.884991,-77.074118,4.048574,10
M,-11.883994,-77.074047,4.159819,10
M,-11.883527,-77.074007,4.211922,10
M,-11.882601,-77.074004,4.314957,10
M,-11.882649,-77.07353,4.366853,10
M,-11.883146,-77.073391,4.424305,10
M,-11.883567,-77.073353,4.471395,10
M,-11.883992,-77.073305,4.519093,10
M,-11.884538,-77.07308,4.584605,10
M,-11.885294,-77.072964,4.669765,10
M,-11.885726,-77.073103,4.720231,10
M,-11.885747,-77.072392,4.797668,10
M,-11.885248,-77.072399,4.853221,10
M,-11.884538,-77.072493,4.932932,10
M,-11.883482,-77.072914,5.059056,10
M,-11.883064,-77.073064,5.108337,10
M,-11.882897,-77.072572,5.165034,10
M,-11.882719,-77.072037,5.226524,10
M,-11.883205,-77.07186,5.284002,10
M,-11.883382,-77.072423,5.348481,10
M,-11.884253,-77.072033,5.454346,10
M,-11.8852,-77.071915,5.56056,10
M,-11.88517,-77.071401,5.616595,10
M,-11.884722,-77.071434,5.666594,10
M,-11.884191,-77.071504,5.726105,10
M,-11.883228,-77.071823,5.838815,10
M,-11.882754,-77.072018,5.89566,10
M,-11.882325,-77.072205,5.947579,10
M,-11.882215,-77.071731,6.000587,10
M,-11.882674,-77.071525,6.056481,10
M,-11.883093,-77.071339,6.107364,10
M,-11.884023,-77.070944,6.219565,10
M,-11.884479,-77.0707,6.276875,10
M,-11.884907,-77.070527,6.328169,10
M,-11.885374,-77.070311,6.38531,10
M,-11.885252,-77.070076,6.414221,10
M,-11.88511,-77.06985,6.443394,10
M,-11.884981,-77.06958,6.4761,10
M,-11.884704,-77.069102,6.536522,10
M,-11.884209,-77.06913,6.591664,10
M,-11.883684,-77.069136,6.650103,10
M,-11.883194,-77.069192,6.704955,10
M,-11.883312,-77.069657,6.757312,10
M,-11.883552,-77.070087,6.811278,10
M,-11.883793,-77.070488,6.86264,10
M,-11.882878,-77.070858,6.972197,10
M,-11.882713,-77.070455,7.019731,10
M,-11.882452,-77.069766,7.100194,10
M,-11.881964,-77.069757,7.154481,10
M,-11.882286,-77.07067,7.260302,10
M,-11.882645,-77.071515,7.360731,10
M,-11.882209,-77.0717,7.413285,10
M,-11.882213,-77.071702,7.413886,10
M,-11.881902,-77.070991,7.498635,10
M,-11.881504,-77.06978,7.637724,10
M,-11.88144,-77.069218,7.699289,10
M,-11.882093,-77.069226,7.772094,10
M,-11.8827,-77.069196,7.839813,10
M,-11.883216,-77.06915,7.897522,10
M,-11.883706,-77.069201,7.952452,10
M,-11.884066,-77.070005,8.048821,10
M,-11.884459,-77.070649,8.131619,10
M,-11.884916,-77.070484,8.185659,10
M,-11.884564,-77.069829,8.266973,10
M,-11.884218,-77.069185,8.346952,10
M,-11.884708,-77.069043,8.40373,10
M,-11.885281,-77.069091,8.46776,10
M,-11.885563,-77.069568,8.528545,10
M,-11.885803,-77.070067,8.589148,10
M,-11.885391,-77.070344,8.644029,10
M,-11.885615,-77.071223,8.743044,10
M,-11.886108,-77.071204,8.798039,10
M,-11.886258,-77.072227,8.910751,10
M,-11.885787,-77.072244,8.963116,10
M,-11.885783,-77.072838,9.027912,10
M,-11.886263,-77.072916,9.082108,10
M,-11.886708,-77.072939,9.131747,10
M,-11.886678,-77.072164,9.216176,10
M,-11.88669,-77.071852,9.250092,10
M,-11.886654,-77.071473,9.291563,10
M,-11.886639,-77.071054,9.337197,10
M,-11.886159,-77.071114,9.390983,10
M,-11.886064,-77.070714,9.43575,10
M,-11.886525,-77.070392,9.497913,10
M,-11.886014,-77.069601,9.601042,10
M,-11.886291,-77.069548,9.63244,10
M,-11.886893,-77.070406,9.747587,10
M,-11.887316,-77.070661,9.802354,10
M,-11.887107,-77.071133,9.858782,10
M,-11.887131,-77.071997,9.95303,10
M,-11.887185,-77.072533,10.01184,10
M,-11.887224,-77.073001,10.06309,10
M,-11.887142,-77.073471,10.11516,10
M,-11.886684,-77.073433,10.16624,10
M,-11.886131,-77.073428,10.22773,10
M,-11.885717,-77.073354,10.27441,10
M,-11.885526,-77.07422,10.3712,10
M,-11.885414,-77.074708,10.42586,10
M,-11.886664,-77.075009,10.5689,10
M,-11.88686,-77.074859,10.59624,10
M,-11.886883,-77.0746,10.62447,10
M,-11.886883,-77.074596,10.62483,10
M,-11.886414,-77.074448,10.67938,10
M,-11.885952,-77.074309,10.73294,10
M,-11.886168,-77.073376,10.83738,10
M,-11.886669,-77.073485,10.89444,10
M,-11.887122,-77.073525,10.94509,10
M,-11.887033,-77.074077,11.00605,10
M,-11.888049,-77.074354,11.12315,10
M,-11.887949,-77.074754,11.16822,10
M,-11.888613,-77.074875,11.24334,10
M,-11.888592,-77.074357,11.29978,10
M,-11.888617,-77.07365,11.37675,10
M,-11.888151,-77.073594,11.42894,10
M,-11.887233,-77.073459,11.53213,10
M,-11.887287,-77.072997,11.58273,10
M,-11.88861,-77.073148,11.73099,10
M,-11.888717,-77.072628,11.78887,10
M,-11.888401,-77.072623,11.82404,10
M,-11.888175,-77.072622,11.84918,10
M,-11.887739,-77.072568,11.89804,10
M,-11.887725,-77.072146,11.94395,10
M,-11.888193,-77.072198,11.99638,10
M,-11.888535,-77.071809,12.05336,10
M,-11.888726,-77.071383,12.10437,10
M,-11.888289,-77.071091,12.16245,10
M,-11.887822,-77.070885,12.21902,10
M,-11.887382,-77.070683,12.27264,10
M,-11.887535,-77.070264,12.32131,10
M,-11.88686,-77.069519,12.4319,10
M,-11.887372,-77.069525,12.48893,10
M,-11.887606,-77.069786,12.52757,10
M,-11.887979,-77.069958,12.57323,10
M,-11.888395,-77.070085,12.62165,10
M,-11.888593,-77.070112,12.6439,10
M,-11.888584,-77.070528,12.68928,10
M,-11.888886,-77.070623,12.72451,10
M,-11.889047,-77.070517,12.74584,10
M,-11.889073,-77.069427,12.8646,10
M,-11.888646,-77.069424,12.91205,10
M,-11.888598,-77.068959,12.96293,10
M,-11.887401,-77.068992,13.0962,10
M,-11.88612,-77.069071,13.23904,10
M,-11.886108,-77.068619,13.2882,10
M,-11.887396,-77.06859,13.43164,10
M,-11.888606,-77.068481,13.56691,10
M,-11.888683,-77.068967,13.62064,10
M,-11.890408,-77.068912,13.81281,10
M,-11.89052,-77.069341,13.86123,10
M,-11.890112,-77.070759,14.02233,10
M,-11.889983,-77.071147,14.06701,10
M,-11.889983,-77.073264,14.29769,10
M,-11.889465,-77.073218,14.35547,10
M,-11.889497,-77.072727,14.40904,10
M,-11.889501,-77.072314,14.45402,10
M,-11.889175,-77.072154,14.49423,10
M,-11.889153,-77.072679,14.55153,10
M,-11.8887,-77.072665,14.60192,10
M,-11.888681,-77.073126,14.65224,10
