turno,rutaActual,sb,nombreRuta,xi,yi,xf,yf,frecuencia,unidad
M,1,1,SANPEDRODECHOQUE-NARANJOS,-11.865682,-77.053401,-11.869634,-77.059911,DIARIA,COMPACTA
M,2,2,GLORIABAMBA,-11.843413,-77.101685,-11.846168,-77.106445,DIARIA,COMPACTA
M,3,3.1,LASVEGAS,-11.864887,-77.074087,-11.864401,-77.074354,DIARIA,COMPACTA
M,3,3.2,PANCHAPAULADERECHO,-11.856485,-77.067177,-11.856525,-77.065079,DIARIA,COMPACTA
M,3,3.3,SANTAPAULA,-11.853834,-77.067023,-11.850263,-77.058083,DIARIA,COMPACTA
M,4,4.1,LOMASZAPALLAL,-11.827395,-77.100564,-11.818736,-77.09869,DIARIA,COMPACTA
M,4,4.2,CALICHE,-11.847793,-77.096529,-11.850823,-77.105521,DIARIA,COMPACTA
M,5,5.1,ANIMASDELSUR,-11.9088,-77.071027,-11.905449,-77.070993,DIARIA,COMPACTA
M,5,5.2,A3,-11.913825,-77.086113,-11.912062,-77.086496,DIARIA,COMPACTA
M,5,5.3,EUCALIPTOS,-11.912816,-77.07406,-11.908108,-77.083869,DIARIA,COMPACTA
M,6,6,GALLINAZOZCASAHUERTA,-11.89272,-77.067824,-11.878041,-77.06058,DIARIA,COMPACTA
M,7,7,SANTABARBARA,-11.890006,-77.06854,-11.886393,-77.075077,DIARIA,COMPACTA
M,8,8,CAMINOREAL,-11.862633,-77.080763,-11.860177,-77.093934,DIARIA,COMPACTA
M,9,9,ORQUIDEAS-CASUARINAS,-11.864383,-77.074196,-11.842732,-77.086931,DIARIA,COMPACTA
M,10,10.1,LOMASLADODERECHO,-11.829034,-77.101385,-11.815997,-77.099084,DIARIA,COMPACTA
M,10,10.2,PALMITOS--PANCHAPAULAIZQUIERDA,-11.855283,-77.065526,-11.852729,-77.05927,DIARIA,COMPACTA
M,11,11,CHAVINDEHUANTAR,-11.833958,-77.090803,-11.829985,-77.091122,DIARIA,COMPACTA
M,12,12,PRIMERODEMAYO,-11.859587,-77.09261,-11.861934,-77.094925,DIARIA,COMPACTA
M,13,13.1,ANIMAS,-11.908239,-77.072579,-11.90546,-77.070983,DIARIA,BARANDA
M,13,13.2,LADERASIIEXPLANADA,-11.924502,-77.086303,-11.919986,-77.088934,INTERDIARIA(MJ-S),BARANDA
M,13,13.3,LADERASIIEXPLANADAU3,-11.92355,-77.085901,-11.923417,-77.089881,INTERDIARIA(MJ-S),BARANDA
M,14,14.1,VIRGENDELFATIMA,-11.842888,-77.101275,-11.835403,-77.109079,INTERDIARIA(LMi-V),BARANDA
M,14,14.2,CERROGORDO,-11.850201,-77.093575,-11.851419,-77.092006,INTERDIARIA(LMi-V),BARANDA
M,14,14.3,ELPORVENIR,-11.84901,-77.090315,-11.854606,-77.084773,INTERDIARIA(LMi-V),BARANDA
M,15,15.1,PANAMERICANORTE,-11.870153,-77.070883,-11.860471,-77.079865,DIARIA,COMPACTA
M,15,15.2,AVENIDASDELSUR,-11.87649,-77.069217,-11.865426,-77.07393,DIARIA,COMPACTA
M,16,16.1,COLONIAELDORADO,-11.842778,-77.101152,-11.817901,-77.098601,INTERDIARIA(MJ-S),BARANDA
M,16,16.2,ARENITAS,-11.836012,-77.109654,-11.829006,-77.114547,INTERDIARIA(MJ-S),BARANDA
M,16,16.3,COMIT6,7,8MONTEDESENAIN,-11.828844,-77.114575,-11.82664,-77.119221,INTERDIARIA(MJ-S),BARANDA
M,17,17.1,LADERASPARTESALTASMZZ,-11.919535,-77.089916,-11.917794,-77.095025,INTERDIARIA(LMi-V),COMPACTA
M,17,17.2,LADERASPARTESALTASMZS,-11.919967,-77.088759,-11.921028,-77.095681,INTERDIARIA(LMi-V),COMPACTA
T,18,18,COPACABANALOSSAUCES,-11.855466,-77.085657,-11.850488,-77.081187,DIARIA,COMPACTA
T,19,19.1,PSJESANMIGUEL,-11.857661,-77.082985,-11.849783,-77.072435,DIARIA,BARANDA
T,19,19.2,LAGRAMAPARTESALTAS,-11.853703,-77.089661,-11.858564,-77.100316,DIARIA,BARANDA
T,19,19.3,LOMASPRIMERODEMAYOYBELAUNDETERRY,-11.858796,-77.100433,-11.860644,-77.104207,DIARIA,BARANDA
T,19,19.4,OROPEZA_PARTESALTAS,-11.831112,-77.113764,-11.820546,-77.109271,DIARIA,BARANDA
T,20,20.1,CHAVARRIA,-11.873784,-77.074336,-11.872986,-77.069529,DIARIA,COMPACTA
T,20,20.2,SHANGRILA,-11.916262,-77.076041,-11.908365,-77.083593,DIARIA,COMPACTA
T,20,20.3,CAPITANA,-11.901997,-77.070017,-11.901622,-77.072467,DIARIA,COMPACTA
T,21,21,MARIAJESUS,-11.931775,-77.089385,-11.931145,-77.09153,DIARIA,COMPACTA
T,22,22.1,ALAMEDADELNORTE,-11.843215,-77.088148,-11.840506,-77.094642,DIARIA,COMPACTA
T,22,22.2,ZAPALLAL,-11.84423,-77.097999,-11.832636,-77.112619,DIARIA,COMPACTA
T,23,23.1,PSJEELPARRAL,-11.868837,-77.076453,-11.870622,-77.080981,DIARIA,BARANDA
T,23,23.2,PSJEAVITUNI,-11.859406,-77.083873,-11.866849,-77.088238,DIARIA,BARANDA
T,23,23.3,ALF.UGARTEPARTESALTAS,-11.853709,-77.08966,-11.856776,-77.099872,DIARIA,BARANDA
T,23,23.4,TIWINZAPARTESALTAS,-11.84857,-77.110822,-11.84774,-77.116054,DIARIA,BARANDA
T,23,23.5,5DEOCTUBRE,-11.829117,-77.101429,-11.81785,-77.098549,DIARIA,BARANDA
T,23,23.6,ELPARASO,-11.829483,-77.118153,-11.825918,-77.116994,DIARIA,BARANDA
T,24,24.1,URB.ELGRAMADAL,-11.868016,-77.074683,-11.863866,-77.078669,DIARIA,COMPACTA
T,24,24.2,URB.LOSPORTALES,-11.880963,-77.068752,-11.873514,-77.05988,DIARIA,COMPACTA
T,25,25.1,TIWINZA-LAALBORADA,-11.843458,-77.101687,-11.849727,-77.115256,DIARIA,COMPACTA
T,25,25.2,ELDORADOLASTORRES,-11.842823,-77.101244,-11.827361,-77.093146,DIARIA,COMPACTA
T,26,26.1,VALLEHERMOSO,-11.833522,-77.113398,-11.829124,-77.110359,DIARIA,COMPACTA
T,26,26.2,OROPEZA,-11.829273,-77.113028,-11.821933,-77.1102,DIARIA,COMPACTA
T,26,26.3,PRIMAVERAALFONSOUGARTE,-11.868034,-77.074758,-11.869518,-77.079016,DIARIA,COMPACTA
T,27,27,LASFRESASYLAMERCED,-11.886316,-77.068432,-11.877974,-77.061523,DIARIA,COMPACTA
T,28,28,ROSALUZAYB,-11.877791,-77.064573,-11.882453,-77.074541,DIARIA,COMPACTA
N,29,29.1,PCANTIGUAPANAMERICANA,-11.882541,-77.07451,-11.890232,-77.068743,DIARIA,COMPACTA
N,29,29.2,PCANTIGUAENSENADA,-11.922962,-77.080146,-11.929525,-77.07886,DIARIA,COMPACTA
