ID,Nombre,Latitud,Longitud
1,SAN PEDRO DE CHOQUE - NARANJOS,-11.865682,-77.053401
2,GLORIA BAMBA,-11.843413,-77.101685
3,LAS VEGAS,-11.864887,-77.074087
4,PANCHA PAULA DERECHO,-11.856485,-77.067177
5,SANTA PAULA,-11.853834,-77.067023
6,LOMAS ZAPALLAL,-11.827395,-77.100564
7,CALICHE,-11.847793,-77.096529
8,ANIMAS DEL SUR,-11.9088,-77.071027
9,A 3,-11.913825,-77.086113
10,EUCALIPTOS,-11.912816,-77.07406
11,GALLINAZOZ  CASA HUERTA,-11.89272,-77.067824
12,SANTA BARBARA,-11.890006,-77.06854
13,CAMINOREAL,-11.862633,-77.080763
14,ORQUIDEAS - CASUARINAS,-11.864383,-77.074196
15,LOMAS LADO DERECHO,-11.829034,-77.101385
16,PALMITOS - -PANCHA PAULA IZQUIERDA,-11.855283,-77.065526
17,CHAVIN DE HUANTAR,-11.833958,-77.090803
18,PRIMERO DE MAYO,-11.859587,-77.09261
19,ANIMAS,-11.908239,-77.072579
20,LADERAS II EXPLANADA,-11.924502,-77.086303
21,LADERAS II EXPLANADA U3,-11.92355,-77.085901
22,VIRGEN DEL FATIMA,-11.842888,-77.101275
23,CERRO GORDO,-11.850201,-77.093575
24,EL POR VENIR,-11.84901,-77.090315
25,PANAMERICA NORTE,-11.870153,-77.070883
26,AVENIDAS DEL SUR,-11.87649,-77.069217
27,COLONIA EL DORADO,-11.842778,-77.101152
28,ARENITAS,-11.836012,-77.109654
29,COMIT 6,7, 8  MONTE DE SENAIN,-11.828844,-77.114575
30,LADERAS PARTES ALTAS MZ Z,-11.919535,-77.089916
31,LADERAS PARTES ALTAS MZ S,-11.919967,-77.088759
32,COPACABANA  LOS SAUCES,-11.855466,-77.085657
33,PSJE SAN MIGUEL,-11.857661,-77.082985
34,LA GRAMA PARTES ALTAS,-11.853703,-77.089661
35,LOMAS PRIMERO DE MAYO Y BELAUNDE TERRY,-11.858796,-77.100433
36,OROPEZA_PARTES ALTAS,-11.831112,-77.113764
37,CHAVARRIA,-11.873784,-77.074336
38,SHANGRILA,-11.916262,-77.076041
39,CAPITANA,-11.901997,-77.070017
40,MARIA JESUS,-11.931775,-77.089385
41,ALAMEDA DEL NORTE,-11.843215,-77.088148
42,ZAPALLAL,-11.84423,-77.097999
43,PSJE EL PARRAL,-11.868837,-77.076453
44,PSJE AVITUNI,-11.859406,-77.083873
45,ALF. UGARTE PARTES ALTAS,-11.853709,-77.08966
46,TIWINZA PARTES ALTAS,-11.84857,-77.110822
47,5 DE OCTUBRE,-11.829117,-77.101429
48,EL PARASO,-11.829483,-77.118153
49,URB. EL GRAMADAL,-11.868016,-77.074683
50,URB. LOS PORTALES,-11.880963,-77.068752
51,TIWINZA - LA ALBORADA,-11.843458,-77.101687
52,EL DORADO  LAS TORRES,-11.842823,-77.101244
53,VALLE HERMOSO,-11.833522,-77.113398
54,OROPEZA,-11.829273,-77.113028
55,PRIMAVERA  ALFONSO UGARTE,-11.868034,-77.074758
56,LAS FRESAS Y LA MERCED,-11.886316,-77.068432
57,ROSA LUZ A Y B,-11.877791,-77.064573
58,PC ANTIGUA PANAMERICANA,-11.882541,-77.07451
59,PC ANTIGUA ENSENADA,-11.922962,-77.080146
60,PC CIRCUNVALACIN,-11.867413,-77.080978
61,NUEVA ESPERANZA,-11.839134,-77.085043
62,BELLAVISTA,-11.862161,-77.090474
63,CERRO VERDE,-11.81783,-77.098557
64,ELICEO COLLAZO,-11.829845,-77.111404
65,CERCADO A,-11.833063,-77.113094
66,LAMPA DE ORO,-11.833727,-77.113499
67,BELLA AURORA,-11.831305,-77.111463
68,SANTA ROSA BAJO (AMBOS LADOS A),-11.89544,-77.068819
69,SANTA ROSA BAJO (AMBOS LADOS B),-11.890187,-77.068093
70,LADERAS DE CHILLN PARTE BAJA,-11.920417,-77.084508
71,SANTA ROSA PARTE ALTA,-11.875144,-77.074489
72,ENSENADA IZQUIERDA,-11.929558,-77.097852
73,5 ETAPAS DE CHILLN,-11.925861,-77.079256
74,ENSENADA PARTE ALTA (LADO DERECHO Y IZQUIERDO),-11.928204,-77.080451
75,PORTALES_FOVIMAR,-11.938241,-77.08661
76,ENSENADA DERECHA,-11.936887,-77.093327
77,LADERAS_VALLE CHILLON,-11.91396,-77.074181
78,HIJOS DE LUYA,-11.844168,-77.09794
79,CERCADO B,-11.935925,-77.083327
80,AVENIDAS PRINCIPALES,-11.935659,-77.083107
81,PANAMERICANA NORTE,-11.913262,-77.073611
