ID;turno;Nombre;Latitud;Longitud;frecuencia
1;M;SAN PEDRO DE CHOQUE - NARANJOS;-11.865682;-77.053401;DIARIA
2;M;GLORIA BAMBA;-11.843413;-77.101685;DIARIA
3;M;LAS VEGAS;-11.864887;-77.074087;DIARIA
4;M;PANCHA PAULA DERECHO;-11.856485;-77.067177;DIARIA
5;M;SANTA PAULA;-11.853834;-77.067023;DIARIA
6;M;LOMAS ZAPALLAL;-11.827395;-77.100564;DIARIA
7;M;CALICHE;-11.847793;-77.096529;DIARIA
8;M;ANIMAS DEL SUR;-11.908800;-77.071027;DIARIA
9;M;A 3;-11.913825;-77.086113;DIARIA
10;M;EUCALIPTOS;-11.912816;-77.074060;DIARIA
11;M;GALLINAZOZ  CASA HUERTA;-11.892720;-77.067824;DIARIA
12;M;SANTA BARBARA;-11.890006;-77.068540;DIARIA
13;M;CAMINOREAL;-11.862633;-77.080763;DIARIA
14;M;ORQUIDEAS - CASUARINAS;-11.864383;-77.074196;DIARIA
15;M;LOMAS LADO DERECHO;-11.829034;-77.101385;DIARIA
16;M;PALMITOS - -PANCHA PAULA IZQUIERDA;-11.855283;-77.065526;DIARIA
17;M;CHAVIN DE HUANTAR;-11.833958;-77.090803;DIARIA
18;M;PRIMERO DE MAYO;-11.859587;-77.092610;DIARIA
19;M;ANIMAS;-11.908239;-77.072579;DIARIA
20;M;LADERAS II EXPLANADA;-11.924502;-77.086303;INTERDIARIA (M  J - S)
21;M;LADERAS II EXPLANADA U3;-11.923550;-77.085901;INTERDIARIA (M  J - S)
22;M;VIRGEN DEL FATIMA;-11.842888;-77.101275;INTERDIARIA (L  Mi - V)
23;M;CERRO GORDO;-11.850201;-77.093575;INTERDIARIA (L  Mi - V)
24;M;EL POR VENIR;-11.849010;-77.090315;INTERDIARIA (L  Mi - V)
25;M;PANAMERICA NORTE;-11.870153;-77.070883;DIARIA
26;M;AVENIDAS DEL SUR;-11.876490;-77.069217;DIARIA
27;M;COLONIA EL DORADO;-11.842778;-77.101152;INTERDIARIA (M  J - S)
28;M;ARENITAS;-11.836012;-77.109654;INTERDIARIA (M  J - S)
29;M;COMIT 6,7, 8  MONTE DE SENAIN;-11.828844;-77.114575;INTERDIARIA (M  J - S)
30;M;LADERAS PARTES ALTAS MZ Z;-11.919535;-77.089916;INTERDIARIA (L  Mi - V)
31;M;LADERAS PARTES ALTAS MZ S;-11.919967;-77.088759;INTERDIARIA (L  Mi - V)
32;T;COPACABANA  LOS SAUCES;-11.855466;-77.085657;DIARIA
33;T;PSJE SAN MIGUEL;-11.857661;-77.082985;DIARIA
34;T;LA GRAMA PARTES ALTAS;-11.853703;-77.089661;DIARIA
35;T;LOMAS PRIMERO DE MAYO Y BELAUNDE TERRY;-11.858796;-77.100433;DIARIA
36;T;OROPEZA_PARTES ALTAS;-11.831112;-77.113764;DIARIA
37;T;CHAVARRIA;-11.873784;-77.074336;DIARIA
38;T;SHANGRILA;-11.916262;-77.076041;DIARIA
39;T;CAPITANA;-11.901997;-77.070017;DIARIA
40;T;MARIA JESUS;-11.931775;-77.089385;DIARIA
41;T;ALAMEDA DEL NORTE;-11.843215;-77.088148;DIARIA
42;T;ZAPALLAL;-11.844230;-77.097999;DIARIA
43;T;PSJE EL PARRAL;-11.868837;-77.076453;DIARIA
44;T;PSJE AVITUNI;-11.859406;-77.083873;DIARIA
45;T;ALF. UGARTE PARTES ALTAS;-11.853709;-77.089660;DIARIA
46;T;TIWINZA PARTES ALTAS;-11.848570;-77.110822;DIARIA
47;T;5 DE OCTUBRE;-11.829117;-77.101429;DIARIA
48;T;EL PARASO;-11.829483;-77.118153;DIARIA
49;T;URB. EL GRAMADAL;-11.868016;-77.074683;DIARIA
50;T;URB. LOS PORTALES;-11.880963;-77.068752;DIARIA
51;T;TIWINZA - LA ALBORADA;-11.843458;-77.101687;DIARIA
52;T;EL DORADO  LAS TORRES;-11.842823;-77.101244;DIARIA
53;T;VALLE HERMOSO;-11.833522;-77.113398;DIARIA
54;T;OROPEZA;-11.829273;-77.113028;DIARIA
55;T;PRIMAVERA  ALFONSO UGARTE;-11.868034;-77.074758;DIARIA
56;T;LAS FRESAS Y LA MERCED;-11.886316;-77.068432;DIARIA
57;T;ROSA LUZ A Y B;-11.877791;-77.064573;DIARIA
58;N;PC ANTIGUA PANAMERICANA;-11.882541;-77.074510;DIARIA
59;N;PC ANTIGUA ENSENADA;-11.922962;-77.080146;DIARIA
60;N;PC CIRCUNVALACIN;-11.867413;-77.080978;DIARIA
61;N;NUEVA ESPERANZA;-11.839134;-77.085043;INTERDIARIA (L  Mi - V)
62;N;BELLAVISTA;-11.862161;-77.090474;INTERDIARIA (L  Mi - V)
63;N;CERRO VERDE;-11.817830;-77.098557;INTERDIARIA (L  Mi - V)
64;N;ELICEO COLLAZO;-11.829845;-77.111404;INTERDIARIA (L  Mi - V)
65;N;CERCADO A;-11.833063;-77.113094;DIARIA
66;N;LAMPA DE ORO;-11.833727;-77.113499;DIARIA
67;N;BELLA AURORA;-11.831305;-77.111463;DIARIA
68;N;SANTA ROSA BAJO (AMBOS LADOS A);-11.895440;-77.068819;DIARIA
69;N;SANTA ROSA BAJO (AMBOS LADOS B);-11.890187;-77.068093;DIARIA
70;N;LADERAS DE CHILLN PARTE BAJA;-11.920417;-77.084508;DIARIA
71;N;SANTA ROSA PARTE ALTA;-11.875144;-77.074489;DIARIA
72;N;ENSENADA IZQUIERDA;-11.929558;-77.097852;DIARIA
73;N;5 ETAPAS DE CHILLN;-11.925861;-77.079256;DIARIA
74;N;ENSENADA PARTE ALTA (LADO DERECHO Y IZQUIERDO);-11.928204;-77.080451;DIARIA
75;N;PORTALES_FOVIMAR;-11.938241;-77.086610;DIARIA
